epoch,step,test/loss,train/delta,train/hfreq,train/loss,train/sawtooth,train/slowwave,train/spec,train/theta_m,train/wave,val_ch,val_delta,val_hfreq,val_knn,val_knn_f1,val_loss,val_sawtooth,val_silhouette,val_slowwave,val_spec,val_theta_m,val_wave
42,38749,,0.32914653420448303,0.2575131058692932,0.7110118865966797,0.4340273141860962,0.06476660072803497,0.3615318536758423,0.4147469997406006,0.2672857940196991,,,,,,,,,,,,
42,38799,,0.3278084099292755,0.25624725222587585,0.7098761796951294,0.43207576870918274,0.06510798633098602,0.3632802367210388,0.4126298725605011,0.26691749691963196,,,,,,,,,,,,
42,38849,,0.3231947124004364,0.25863373279571533,0.7073135375976562,0.4317616820335388,0.0633300319314003,0.3639945387840271,0.413168728351593,0.26096534729003906,,,,,,,,,,,,
42,38899,,0.3192669451236725,0.2583793103694916,0.6981743574142456,0.43127426505088806,0.06323817372322083,0.3505759537220001,0.4122678339481354,0.2585281729698181,,,,,,,,,,,,
42,38949,,0.32383373379707336,0.25779277086257935,0.7048997282981873,0.4326185882091522,0.0629621297121048,0.35667839646339417,0.41053080558776855,0.26746368408203125,,,,,,,,,,,,
42,38999,,0.32542774081230164,0.25727033615112305,0.7056165337562561,0.4327087104320526,0.06321615725755692,0.35659945011138916,0.41352325677871704,0.2655763030052185,,,,,,,,,,,,
42,39049,,0.3237866759300232,0.2574072480201721,0.7100356817245483,0.4334878921508789,0.06259378045797348,0.366534948348999,0.4151802659034729,0.2634381651878357,,,,,,,,,,,,
42,39099,,0.326253205537796,0.2584390342235565,0.7057234048843384,0.43424350023269653,0.06302269548177719,0.35570472478866577,0.41294771432876587,0.26466378569602966,,,,,,,,,,,,
42,39149,,0.32058650255203247,0.2571328282356262,0.7025790214538574,0.4330713450908661,0.06291002780199051,0.3556996285915375,0.4132629334926605,0.2621338665485382,,,,,,,,,,,,
42,39199,,0.32215940952301025,0.26006293296813965,0.7071583867073059,0.4353557229042053,0.06329130381345749,0.35830065608024597,0.4149489402770996,0.26420849561691284,,,,,,,,,,,,
42,39249,,0.32735273241996765,0.2575462758541107,0.7069090604782104,0.4337414503097534,0.06254438310861588,0.3561261296272278,0.4138190746307373,0.26781612634658813,,,,,,,,,,,,
42,39299,,0.32784590125083923,0.2573908865451813,0.7117664217948914,0.43492820858955383,0.06377717852592468,0.3631150722503662,0.4154817759990692,0.26793885231018066,,,,,,,,,,,,
42,39349,,0.3272304832935333,0.25654137134552,0.7059456706047058,0.43163761496543884,0.0634501725435257,0.35784173011779785,0.4128226637840271,0.26506707072257996,,,,,,,,,,,,
42,39399,,0.32781586050987244,0.25503528118133545,0.7071322202682495,0.43357419967651367,0.06533968448638916,0.3593132793903351,0.41256386041641235,0.26392310857772827,,,,,,,,,,,,
42,39449,,0.32700973749160767,0.25721225142478943,0.7067101001739502,0.4317030906677246,0.06238560378551483,0.35901200771331787,0.4132274091243744,0.2658088207244873,,,,,,,,,,,,
42,39499,,0.3236682116985321,0.25576359033584595,0.7075088024139404,0.43532609939575195,0.06300627440214157,0.3633081316947937,0.4129665791988373,0.26211827993392944,,,,,,,,,,,,
42,39549,,0.3270358145236969,0.2590540647506714,0.7125453948974609,0.43269670009613037,0.06316164135932922,0.3681235909461975,0.414050430059433,0.2656134068965912,,,,,,,,,,,,
42,39599,,0.32679957151412964,0.25845828652381897,0.7081250548362732,0.4319082200527191,0.0616966187953949,0.36000531911849976,0.413216769695282,0.26832839846611023,,,,,,,,,,,,
42,39645,,,,,,,,,,52.9214973449707,0.26573941111564636,0.24922986328601837,0.4376447796821594,0.45523861050605774,0.6286521553993225,0.36434856057167053,-0.0062284464947879314,0.013420519419014454,0.3603901267051697,0.38211333751678467,0.22000516951084137
43,39649,,0.32675886154174805,0.25743550062179565,0.7086011171340942,0.4312420189380646,0.06378883868455887,0.3609544038772583,0.4143506586551666,0.26683706045150757,,,,,,,,,,,,
43,39699,,0.32314756512641907,0.2586955428123474,0.6977648138999939,0.4321506917476654,0.06223564222455025,0.34376606345176697,0.41248464584350586,0.2642251253128052,,,,,,,,,,,,
43,39749,,0.32649391889572144,0.25598031282424927,0.7087396383285522,0.43178942799568176,0.06428837776184082,0.3630737364292145,0.41304221749305725,0.2657482922077179,,,,,,,,,,,,
43,39799,,0.32461923360824585,0.25706785917282104,0.7076196670532227,0.4317285418510437,0.06316711008548737,0.36424383521080017,0.41278815269470215,0.26228833198547363,,,,,,,,,,,,
43,39849,,0.3270144760608673,0.25710904598236084,0.7070215940475464,0.43419188261032104,0.06236449256539345,0.35867568850517273,0.4132520854473114,0.26501375436782837,,,,,,,,,,,,
43,39899,,0.32342424988746643,0.25761041045188904,0.7021245360374451,0.42886021733283997,0.06472074240446091,0.353924959897995,0.4117583930492401,0.26416611671447754,,,,,,,,,,,,
43,39949,,0.3261047303676605,0.2600441575050354,0.7048100829124451,0.4331831932067871,0.06363029032945633,0.3513602614402771,0.41381609439849854,0.26698800921440125,,,,,,,,,,,,
43,39999,,0.3295379877090454,0.2550339102745056,0.7047612071037292,0.42938441038131714,0.06294295936822891,0.35680657625198364,0.41116252541542053,0.2664646506309509,,,,,,,,,,,,
43,40049,,0.32785600423812866,0.2579629123210907,0.7060493230819702,0.4302331507205963,0.06214326620101929,0.3570144474506378,0.4135742485523224,0.2667039930820465,,,,,,,,,,,,
43,40099,,0.322590708732605,0.2599887251853943,0.7030463218688965,0.43303969502449036,0.06301067024469376,0.35375386476516724,0.4130638837814331,0.2622043788433075,,,,,,,,,,,,
43,40149,,0.3243177533149719,0.257694810628891,0.702914834022522,0.43172508478164673,0.06436309963464737,0.35334059596061707,0.4143421947956085,0.2617053687572479,,,,,,,,,,,,
43,40199,,0.3217880427837372,0.25739800930023193,0.7015436291694641,0.43091171979904175,0.06354543566703796,0.3541415333747864,0.41290032863616943,0.2616993486881256,,,,,,,,,,,,
43,40249,,0.32145047187805176,0.2582980692386627,0.7008664011955261,0.4308508038520813,0.06132526323199272,0.35253021121025085,0.4126213788986206,0.2641249895095825,,,,,,,,,,,,
43,40299,,0.32302650809288025,0.25721675157546997,0.7045762538909912,0.43216797709465027,0.06189427524805069,0.35607120394706726,0.4135841131210327,0.26724573969841003,,,,,,,,,,,,
